ogc_fid,zone_name,param_name,param_value
4136732,Zone2_RearPerimeter,infiltration_object_type,ZONEINFILTRATION:DESIGNFLOWRATE
4136732,Zone2_RearPerimeter,infiltration_flow_m3_s,0.00040495681634872
4136732,Zone2_RearPerimeter,infiltration_schedule_name,AlwaysOnSched
4136732,Zone2_RearPerimeter,ventilation_object_name,Zone2_RearPerimeter Ideal Loads
4136732,Zone2_RearPerimeter,ventilation_object_type,ZONEHVAC:IDEALLOADSAIRSYSTEM
4136732,Zone2_RearPerimeter,ventilation_flow_m3_s,0.009267852885778586
4136732,Zone2_RearPerimeter,ventilation_schedule_name,VentSched_DayNight
4136732,Zone2_LeftPerimeter,infiltration_object_name,Infil_non_residential_D_Zone2_LeftPerimeter
4136732,Zone2_LeftPerimeter,infiltration_object_type,ZONEINFILTRATION:DESIGNFLOWRATE
4136732,Zone2_LeftPerimeter,infiltration_flow_m3_s,0.00040495681634872
4136732,Zone2_LeftPerimeter,infiltration_schedule_name,AlwaysOnSched
4136732,Zone2_LeftPerimeter,ventilation_object_name,Zone2_LeftPerimeter Ideal Loads
4136732,Zone2_LeftPerimeter,ventilation_object_type,ZONEHVAC:IDEALLOADSAIRSYSTEM
4136732,Zone2_LeftPerimeter,ventilation_flow_m3_s,0.009267852885778586
4136732,Zone2_LeftPerimeter,ventilation_schedule_name,VentSched_DayNight
4136732,Zone2_Core,infiltration_object_name,Infil_non_residential_D_Zone2_Core
4136732,Zone2_Core,infiltration_object_type,ZONEINFILTRATION:DESIGNFLOWRATE
4136732,Zone2_Core,infiltration_flow_m3_s,0.00040495681634872
4136732,Zone2_Core,infiltration_schedule_name,AlwaysOnSched
4136732,Zone2_Core,ventilation_object_name,Zone2_Core Ideal Loads
4136732,Zone2_Core,ventilation_object_type,ZONEHVAC:IDEALLOADSAIRSYSTEM
4136732,Zone2_Core,ventilation_flow_m3_s,0.009267852885778586
4136732,Zone2_Core,ventilation_schedule_name,VentSched_DayNight
