Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Daily),Environment:Site Outdoor Air Dewpoint Temperature [C](Daily),Environment:Site Outdoor Air Wetbulb Temperature [C](Daily),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Daily),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Daily),Environment:Site Solar Azimuth Angle [deg](Daily),Environment:Site Solar Altitude Angle [deg](Daily),MYDHW_1_WATERHEATER:Water Heater Heating Energy [J](Daily),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),Electricity:Facility [J](Hourly) 
 01/08  06:00:00,,,,,,,,,7864068.070925621,0.0,4566240.878071144 
 01/08  07:00:00,,,,,,,,,8114394.901727419,0.0,7768042.6663536085 
 01/08  08:00:00,,,,,,,,,32462656.86082911,0.0,7767404.7399636125 
 01/08  09:00:00,,,,,,,,,29142887.630527858,0.0,11839729.859827679 
 01/08  10:00:00,,,,,,,,,26323384.623894107,0.0,8203325.344724338 
 01/08  11:00:00,,,,,,,,,24377328.928713586,0.0,7375126.434655575 
 01/08  12:00:00,,,,,,,,,22935074.60908316,0.0,4566240.878071144 
 01/08  13:00:00,,,,,,,,,21975013.53171543,0.0,7375165.041845188 
 01/08  14:00:00,,,,,,,,,21504131.975311704,0.0,4566240.878071144 
 01/08  15:00:00,,,,,,,,,21001320.908021793,0.0,7375254.2634546645 
 01/08  16:00:00,,,,,,,,,20677353.642872028,0.0,6954457.8642148115 
 01/08  17:00:00,,,,,,,,,20491784.293227438,0.0,4987177.158340675 
 01/08  18:00:00,,,,,,,,,20078720.221565228,0.0,7844377.73819777 
 01/08  19:00:00,,,,,,,,,19590946.429226216,0.0,8263430.163357433 
 01/08  20:00:00,,,,,,,,,180266.9912475912,0.0,10180941.363215383 
 01/08  21:00:00,,,,,,,,,1619601.1765824636,0.0,8363363.506111065 
 01/08  22:00:00,,,,,,,,,2281276.5999270086,0.0,7767336.948175827 
 01/08  23:00:00,,,,,,,,,2729584.0421863287,0.0,7768007.8757962715 
 01/08  24:00:00,0.33385416666666695,-0.19583404686953979,0.1188314416176298,6.432291666666667,0.3151041666666667,171.19300465716188,-19.69085628613162,53864583.97195452,3132105.9910929413,0.0,7767373.556396395 
 01/09  01:00:00,,,,,,,,,3465289.5217272844,0.0,4566240.878071144 
 01/09  02:00:00,,,,,,,,,4112557.1328320587,0.0,7220673.424992346 
 01/09  03:00:00,,,,,,,,,4873322.060176048,0.0,4566240.878071144 
 01/09  04:00:00,,,,,,,,,5254457.801989699,0.0,4566240.878071144 
 01/09  05:00:00,,,,,,,,,5243153.669717582,0.0,4566240.878071144 
 01/09  06:00:00,,,,,,,,,4992449.480926903,0.0,7220589.840846819 
 01/09  07:00:00,,,,,,,,,4933295.666611752,0.0,7767243.01276277 
 01/09  08:00:00,,,,,,,,,30453040.925742954,3488.2842204571166,7767948.334689429 
 01/09  09:00:00,,,,,,,,,25319464.39747375,0.0,8202765.861982642 
 01/09  10:00:00,,,,,,,,,22123311.48517038,0.0,11840286.809669342 
 01/09  11:00:00,,,,,,,,,19424212.098785132,0.0,4566240.878071144 
 01/09  12:00:00,,,,,,,,,17410364.67972997,0.0,7375173.202574625 
 01/09  13:00:00,,,,,,,,,16262365.242237266,0.0,4566240.878071144 
 01/09  14:00:00,,,,,,,,,15673328.079338782,0.0,7375128.439942445 
 01/09  15:00:00,,,,,,,,,16009975.795215191,0.0,6209086.82602529 
 01/09  16:00:00,,,,,,,,,16637736.846118605,0.0,5732288.280934045 
 01/09  17:00:00,,,,,,,,,16960684.36162373,0.0,7375190.605839746 
 01/09  18:00:00,,,,,,,,,17744111.47812297,0.0,7843807.375259023 
 01/09  19:00:00,,,,,,,,,20396767.09571436,0.0,7843653.586647477 
 01/09  20:00:00,,,,,,,,,0.0,0.0,7843301.935303217 
 01/09  21:00:00,,,,,,,,,110401.29413287215,0.0,7843691.182865285 
 01/09  22:00:00,,,,,,,,,574820.9040844591,0.0,8627134.842390327 
 01/09  23:00:00,,,,,,,,,995044.3287700784,0.0,9173601.85670492 
 01/09  24:00:00,4.736458333333332,4.126040580561692,4.590807866781274,18.317708333333332,18.375,171.0951546233548,-19.574463356569648,53795653.767099336,1383864.520248252,0.0,8703719.015961232 
 01/10  01:00:00,,,,,,,,,2170005.109157254,0.0,4566240.878071144 
 01/10  02:00:00,,,,,,,,,2364582.3849552814,0.0,4566240.878071144 
 01/10  03:00:00,,,,,,,,,3258162.9457005076,0.0,4566240.878071144 
 01/10  04:00:00,,,,,,,,,3921356.068757729,0.0,7220803.790196789 
 01/10  05:00:00,,,,,,,,,4247090.164571308,0.0,4566240.878071144 
 01/10  06:00:00,,,,,,,,,4492663.6153768655,0.0,4566240.878071144 
 01/10  07:00:00,,,,,,,,,4737599.600185335,0.0,7767480.262655353 
 01/10  08:00:00,,,,,,,,,29242815.06928446,11854.497905947661,7767043.60479596 
 01/10  09:00:00,,,,,,,,,25008803.325044394,0.0,11840253.419701463 
 01/10  10:00:00,,,,,,,,,22444436.388763957,0.0,8202705.468786266 
 01/10  11:00:00,,,,,,,,,19821762.977226738,0.0,7375778.452353797 
 01/10  12:00:00,,,,,,,,,17799549.025127016,0.0,4566240.878071144 
 01/10  13:00:00,,,,,,,,,16674181.079954823,0.0,7375802.143860307 
 01/10  14:00:00,,,,,,,,,15604977.892517207,0.0,4668613.991328302 
 01/10  15:00:00,,,,,,,,,15550419.962372191,0.0,7273350.910831805 
 01/10  16:00:00,,,,,,,,,16557930.285424478,0.0,7375503.260631372 
 01/10  17:00:00,,,,,,,,,17159035.330984816,0.0,4566240.878071144 
 01/10  18:00:00,,,,,,,,,17552366.183857363,0.0,7843663.68365028 
 01/10  19:00:00,,,,,,,,,17547076.76875166,0.0,9208355.404782157 
 01/10  20:00:00,,,,,,,,,12268.196224574824,0.0,9756222.149211638 
 01/10  21:00:00,,,,,,,,,903148.539378428,0.0,7843454.814822847 
 01/10  22:00:00,,,,,,,,,1916035.4315919643,0.0,7767932.023355684 
 01/10  23:00:00,,,,,,,,,2511986.3150271443,0.0,7767592.299932766 
 01/10  24:00:00,4.616666666666666,2.0005208333333333,3.6733112254525153,18.4375,35.565104166666664,171.00130137365522,-19.451784315637955,51476117.959161974,2687459.1780675594,0.0,7767225.867603752 
 01/11  01:00:00,,,,,,,,,2796164.709980891,0.0,4566240.878071144 
 01/11  02:00:00,,,,,,,,,3115156.442636747,0.0,7220373.22771422 
 01/11  03:00:00,,,,,,,,,3576294.6348467125,0.0,4566240.878071144 
 01/11  04:00:00,,,,,,,,,4174601.283133887,0.0,4566240.878071144 
 01/11  05:00:00,,,,,,,,,4775178.621182407,0.0,4566240.878071144 
 01/11  06:00:00,,,,,,,,,5111893.275630074,0.0,7220897.155836893 
 01/11  07:00:00,,,,,,,,,5175121.084384373,0.0,7767804.707793441 
 01/11  08:00:00,,,,,,,,,29800475.965012986,8323.854917297384,7767860.5860033855 
 01/11  09:00:00,,,,,,,,,25297344.690588795,0.0,8414484.874928262 
 01/11  10:00:00,,,,,,,,,22570443.68634615,0.0,11628411.58658808 
 01/11  11:00:00,,,,,,,,,19965537.154956054,0.0,4566240.878071144 
 01/11  12:00:00,,,,,,,,,18371753.83585102,0.0,7375739.356713574 
 01/11  13:00:00,,,,,,,,,17292994.31660741,0.0,4566240.878071144 
 01/11  14:00:00,,,,,,,,,15493400.636042433,0.0,7375763.108170519 
